,Distinction,Name,Location,Price,Cuisine
54,3 Star,Restaurant Marcon,"Saint-Bonnet-le-Froid, France",€€€€,Creative
55,3 Star,Kei,"Paris, France",€€€€,Modern Cuisine
56,3 Star,Les Prés d'Eugénie - Michel Guérard,"Eugénie-les-Bains, France",€€€€,Classic Cuisine
57,3 Star,Auberge du Vieux Puits,"Fontjoncouse, France",€€€€,Creative
58,3 Star,L'Oustau de Baumanière,"Les Baux-de-Provence, France",€€€€,Creative
59,3 Star,La Vague d'Or - Cheval Blanc St-Tropez,"Saint-Tropez, France",€€€€,Creative
60,3 Star,Assiette Champenoise,"Reims, France",€€€€,Creative
61,3 Star,Troisgros - Le Bois sans Feuilles,"Ouches, France",€€€€,Creative
62,3 Star,Georges Blanc,"Vonnas, France",€€€€,Classic Cuisine
63,3 Star,Le 1947 à Cheval Blanc,"Courchevel, France",€€€€,Creative
64,3 Star,La Marine,"L'Herbaudière, France",€€€€,Creative
65,3 Star,La Villa Madie,"Cassis, France",€€€€,Creative
66,3 Star,Le Clos des Sens,"Annecy, France",€€€€,Creative
67,3 Star,Ta Vie,"Hong Kong, Hong Kong SAR China",$$$$,Innovative
68,3 Star,Caprice,"Hong Kong, Hong Kong SAR China",$$$$,French Contemporary
69,3 Star,8 1/2 Otto e Mezzo - Bombana,"Hong Kong, Hong Kong SAR China",$$$$,Italian
70,3 Star,Jade Dragon,Macau,$$$,Cantonese
71,3 Star,Forum,"Hong Kong, Hong Kong SAR China",$$$$,Cantonese
72,3 Star,Robuchon au Dôme,Macau,$$$$,French Contemporary
73,3 Star,L'Atelier de Joël Robuchon,"Hong Kong, Hong Kong SAR China",$$$$,French Contemporary
74,3 Star,T'ang Court,"Hong Kong, Hong Kong SAR China",$$$,Cantonese
75,3 Star,Sushi Shikon,"Hong Kong, Hong Kong SAR China",$$$$,Sushi
76,3 Star,Zilte,"Antwerpen, Belgium",€€€€,Creative
77,3 Star,Boury,"Roeselare, Belgium",€€€€,Creative French
78,3 Star,L'Enclume,"Cartmel, United Kingdom",££££,Creative British
79,3 Star,Hélène Darroze at The Connaught,"London, United Kingdom",££££,Modern Cuisine
80,3 Star,Alain Ducasse at The Dorchester,"London, United Kingdom",££££,French
81,3 Star,Fat Duck,"Bray, United Kingdom",££££,Creative
82,3 Star,"Sketch, The Lecture Room and Library","London, United Kingdom",££££,Modern French
83,3 Star,Restaurant Gordon Ramsay,"London, United Kingdom",££££,French
84,3 Star,The Ledbury,"London, United Kingdom",££££,Modern Cuisine
85,3 Star,CORE by Clare Smyth,"London, United Kingdom",££££,Modern British
86,3 Star,Waterside Inn,"Bray, United Kingdom",££££,Classic French
87,3 Star,L'OSIER,"Tokyo, Japan",¥¥¥¥,French
88,3 Star,Azabu Kadowaki,"Tokyo, Japan",¥¥¥¥,Japanese
89,3 Star,Kohaku,"Tokyo, Japan",¥¥¥¥,Japanese
90,3 Star,Harutaka,"Tokyo, Japan",¥¥¥¥,Sushi
91,3 Star,Kanda,"Tokyo, Japan",¥¥¥¥,Japanese
92,3 Star,Makimura,"Tokyo, Japan",¥¥¥¥,Japanese
93,3 Star,Quintessence,"Tokyo, Japan",¥¥¥¥,French
94,3 Star,RyuGin,"Tokyo, Japan",¥¥¥¥,Japanese
95,3 Star,L'Effervescence,"Tokyo, Japan",¥¥¥¥,French
96,3 Star,Joël Robuchon,"Tokyo, Japan",¥¥¥¥,French
97,3 Star,Kagurazaka Ishikawa,"Tokyo, Japan",¥¥¥¥,Japanese
98,3 Star,Sazenka,"Tokyo, Japan",¥¥¥¥,Chinese
99,3 Star,Aponiente,"El Puerto de Santa María, Spain",€€€€,Creative
100,3 Star,El Celler de Can Roca,"Girona, Spain",€€€€,Creative
101,3 Star,Azurmendi,"Larrabetzu, Spain",€€€€,Creative
102,3 Star,Cenador de Amós,"Villaverde de Pontones, Spain",€€€€,Modern Cuisine
103,3 Star,Martín Berasategui,"Lasarte - Oria, Spain",€€€€,Creative
104,3 Star,Atrio,"Cáceres, Spain",€€€€,Creative
105,3 Star,Quique Dacosta,"Dénia, Spain",€€€€,Creative
106,3 Star,Arzak,"Donostia / San Sebastián, Spain",€€€€,Creative
107,3 Star,Lasarte,"Barcelona, Spain",€€€€,Creative
108,3 Star,Disfrutar,"Barcelona, Spain",€€€€,Creative
109,3 Star,Akelaŕe,"Donostia / San Sebastián, Spain",€€€€,Creative
110,3 Star,ABaC,"Barcelona, Spain",€€€€,Creative
111,3 Star,Cocina Hermanos Torres,"Barcelona, Spain",€€€€,Creative
112,3 Star,Noor,"Córdoba, Spain",€€€€,Creative
113,3 Star,DiverXO,"Madrid, Spain",€€€€,Creative
114,3 Star,Taian Table,"Shanghai, China Mainland",¥¥¥¥,Innovative
115,3 Star,Ultraviolet by Paul Pairet,"Shanghai, China Mainland",¥¥¥¥,Innovative
116,3 Star,Enoteca Pinchiorri,"Florence, Italy",€€€€,Italian Contemporary
117,3 Star,Uliassi,"Senigallia, Italy",€€€€,Creative
118,3 Star,Villa Crespi,"Orta San Giulio, Italy",€€€€,Creative
119,3 Star,Reale,"Castel di Sangro, Italy",€€€€,Modern Cuisine
120,3 Star,Le Calandre,"Rubano, Italy",€€€€,Creative
121,3 Star,Enrico Bartolini al Mudec,"Milan, Italy",€€€€,Creative
122,3 Star,La Pergola,"Rome, Italy",€€€€,Mediterranean Cuisine
123,3 Star,Atelier Moessmer Norbert Niederkofler,"Brunico, Italy",€€€€,Creative
124,3 Star,Piazza Duomo,"Alba, Italy",€€€€,Creative
125,3 Star,Quattro Passi,"Marina del Cantone, Italy",€€€€,Mediterranean Cuisine
126,3 Star,Osteria Francescana,"Modena, Italy",€€€€,Creative
127,3 Star,Dal Pescatore,"Runate, Italy",€€€€,Italian Contemporary
128,3 Star,Da Vittorio,"Brusaporto, Italy",€€€€,Italian Contemporary
129,3 Star,The Inn at Little Washington,"Washington, USA",$$$$,American
130,3 Star,Per Se,"New York, USA",$$$$,Contemporary
131,3 Star,Le Bernardin,"New York, USA",$$$$,Seafood
132,3 Star,Eleven Madison Park,"New York, USA",$$$$,Vegan
133,3 Star,Masa,"New York, USA",$$$$,Japanese
134,3 Star,Smyth,"Chicago, USA",$$$$,Contemporary
135,3 Star,Alinea,"Chicago, USA",$$$$,Creative
136,3 Star,Chao Shang Chao (Chaoyang),"Beijing, China Mainland",¥¥¥¥,Chao Zhou
137,3 Star,Xin Rong Ji (Xinyuan South Road),"Beijing, China Mainland",¥¥¥¥,Taizhou
138,3 Star,King's Joy,"Beijing, China Mainland",¥¥¥¥,Vegetarian
139,3 Star,Memories,"Bad Ragaz, Switzerland",€€€€,Creative
140,3 Star,Restaurant de l'Hôtel de Ville,"Crissier, Switzerland",€€€€,Classic French
141,3 Star,Cheval Blanc by Peter Knogl,"Basel, Switzerland",€€€€,Classic French
142,3 Star,Schloss Schauenstein,"Fürstenau, Switzerland",€€€€,Creative
143,3 Star,De Librije,"Zwolle, Netherlands",€€€€,Modern Cuisine
144,3 Star,Amador,"Vienna, Austria",€€€€,Creative
